1782000000000000,64240.98000000,64244.58000000,64201.00000000,64238.73000000,0.00912000,1782007199999999,585.82052830,14,0.00510000,327.58734290,0
1782007200000000,64227.00000000,64400.65000000,64220.00000000,64370.26000000,0.01235000,1782014399999999,793.80646310,13,0.00354000,227.85042330,0
1782014400000000,64413.70000000,64500.00000000,64307.72000000,64307.72000000,0.00482000,1782021599999999,310.46971120,7,0.00472000,304.03893920,0
1782021600000000,64188.00000000,64240.16000000,64188.00000000,64215.44000000,0.01267000,1782028799999999,813.75868870,14,0.01081000,694.28816070,0
1782028800000000,64154.79000000,64154.79000000,63877.78000000,64083.98000000,0.06402000,1782035999999999,4099.82522740,24,0.03771000,2412.97222990,0
1782036000000000,64183.91000000,64378.90000000,64076.38000000,64134.45000000,0.15188000,1782043199999999,9770.61372760,18,0.11199000,7208.04436880,0
1782043200000000,64109.81000000,64151.46000000,63991.42000000,63991.42000000,0.01422000,1782050399999999,910.87887000,17,0.00626000,401.41071360,0
1782050400000000,64085.22000000,64245.02000000,63988.08000000,64245.02000000,0.09039000,1782057599999999,5792.28958010,24,0.01066000,683.33346040,0
1782057600000000,64200.01000000,64205.62000000,64071.18000000,64128.68000000,0.02698000,1782064799999999,1731.42895740,15,0.02546000,1633.98128060,0
1782064800000000,64131.60000000,64201.67000000,63937.33000000,64176.96000000,0.20684000,1782071999999999,13230.16858340,82,0.01755000,1125.26384680,0
1782072000000000,64087.91000000,64088.46000000,63545.83000000,63881.64000000,0.54295000,1782079199999999,34585.25800730,30,0.53966000,34375.34371250,0
1782079200000000,63722.59000000,63777.05000000,63263.06000000,63266.03000000,0.03922000,1782086399999999,2490.19718450,27,0.01779000,1132.87262920,0
