model,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc
first_touch_up,0.7054151624548737,0.028750835438093852,0.7114400800652005,0.02810084096999784,0.7813541978866646,0.03429733668101923
future_break_up,0.6866425992779784,0.03682929798558001,0.690564994893722,0.03268899983572246,0.7688460451618205,0.026921914935522682
future_break_down,0.6787003610108303,0.014496731411741,0.6775462973231471,0.00864188854106856,0.7584213629725138,0.015342269216025798
C5_direction,0.5234657039711191,0.013202832886577422,0.5193365404978072,0.00865559520029715,0.5352580989222335,0.013752553538210439
C6_direction,0.5148014440433213,0.017796039774536095,0.5110956764082082,0.015884152135093466,0.5265758831132998,0.021000139473146977
C7_direction,0.49819494584837554,0.014775005003379896,0.4954563355390393,0.017330832342064235,0.5107670189168387,0.03577042436324022
