position,n,C5_up,break_up,break_down,hit_750_up,hit_750_down,edge
bottom_quarter,852,0.5305164319248826,0.12206572769953052,0.7276995305164319,0.2546948356807512,0.2887323943661972,-0.034037558685446
lower_mid,764,0.5013089005235603,0.29581151832460734,0.4424083769633508,0.2513089005235602,0.23036649214659685,0.020942408376963345
upper_mid,829,0.4704463208685163,0.46079613992762364,0.2955367913148372,0.24607961399276237,0.27020506634499397,-0.024125452352231597
top_quarter,807,0.43246592317224286,0.6852540272614622,0.17224287484510534,0.2057001239157373,0.2577447335811648,-0.05204460966542748
