pattern,n,next_candle_up,hit_750_up,hit_750_down,reversal_quality
C6_rejected_low,124,0.5,0.16129032258064516,0.3790322580645161,1.0
C5_long_upper_wick,324,0.5030864197530864,0.28703703703703703,0.16358024691358025,0.9938271604938271
C5_rejected_low,161,0.4968944099378882,0.22981366459627328,0.35403726708074534,0.9937888198757764
C5_rejected_high,140,0.4714285714285714,0.3142857142857143,0.17142857142857143,0.9428571428571428
C5_long_lower_wick,365,0.4520547945205479,0.16164383561643836,0.27671232876712326,0.9041095890410958
C6_rejected_high,103,0.39805825242718446,0.3106796116504854,0.1941747572815534,0.7961165048543689
