condition,n,both_sides_probability,hit_target_same_side,hit_target_opposite
broke_up,1330,0.20075187969924813,0.44285714285714284,0.13759398496240602
broke_down,1359,0.19646799116997793,0.5121412803532008,0.14716703458425312
