future_break_up,future_break_down,pullback_pips,pullback_pct_of_range
1,0,6666699.999999982,45.71524572964591
1,0,6195200.000000041,159.65364395423524
1,0,6798800.000000047,175.2087413668735
1,0,6798800.000000047,175.2087413668735
1,0,6880399.999999936,128.2030260117766
1,1,9160699.999999924,174.02876194456456
1,1,9160699.999999924,263.24607028937
1,1,31416699.99999998,342.95086620018384
1,1,36299899.99999991,272.71013011990163
1,0,22673499.999999914,133.99938536458484
1,0,23503799.9999999,74.81307712140331
1,0,25465099.999999948,70.15198388976282
1,0,25465099.999999948,70.15198388976282
1,0,14623800.000000047,62.21887524570542
1,0,11323400.00000011,44.46634806067965
1,0,8323399.999999965,32.685518611746986
1,0,7940000.0,54.29505326932791
1,1,26212900.000000082,209.64785296681714
1,0,8426300.000000047,88.31303582283576
1,0,29127599.999999948,301.1195997146728
1,0,58093399.99999996,600.5665195232149
1,0,55269599.99999992,655.9177812325648
1,0,33507500.0,115.03694090827963
1,0,15040599.999999978,90.35509819116774
1,0,26205499.999999885,172.26973619337392
1,0,26205499.999999885,172.26973619337392
1,1,36757599.99999995,247.78789696851055
1,1,20527299.99999996,324.68602701591095
1,0,42005299.999999985,356.5239901883389
1,0,33407100.000000063,283.5459475975861
1,0,25067299.99999996,122.11688824151257
1,0,2497800.000000134,64.61442946944106
1,0,2533000.000000029,158.64963046475035
1,0,2965199.999999895,185.7196542653201
1,1,5166900.000000023,206.85803507085217
1,1,22628899.999999993,205.33460369311675
1,0,18613399.999999966,137.12336638623265
1,0,7068000.000000029,46.83089726090967
1,0,11962200.000000011,94.39197026726379
1,0,17522899.999999937,138.27064050059593
1,0,18920599.999999978,157.2327253085147
1,0,18920599.999999978,104.85580013743936
1,0,18920599.999999978,105.74657396436433
1,0,38901900.00000002,286.95065279929264
1,1,40979100.00000004,419.41661122767425
1,1,49650000.0,359.1579861111126
1,0,7584100.000000035,55.499370664169525
1,0,7556999.999999971,69.32836710916193
1,0,11316399.999999994,129.24018684117345
1,0,23738000.00000003,271.1024314477909
1,0,21703800.000000045,191.5283403489265
1,1,37161500.00000009,328.38623590541255
1,1,47541300.000000045,178.36058316388238
1,0,28382400.000000052,127.1242693660006
1,0,16227799.999999989,56.79298373323623
1,0,13593600.000000006,57.769637112367946
1,0,16494199.999999983,58.11418343762315
1,0,24008500.00000006,147.94673338345356
1,0,24008500.00000006,176.6162017419966
1,0,4411199.999999953,30.838494987485905
1,0,3920200.000000041,60.642905760782554
1,1,10197299.999999959,196.15473396683623
1,1,10197299.999999959,196.15473396683623
1,0,2607099.9999999185,33.53700892742226
1,0,4043099.9999999767,73.81287083523462
1,1,5249400.000000023,152.85210960021342
1,1,5249400.000000023,168.77471626531343
1,0,9731999.99999997,185.3926162990042
1,0,9731999.99999997,185.3926162990042
1,1,13522799.999999989,257.60658360955404
1,0,13440700.00000007,119.45696129405093
1,0,15984400.000000022,224.1474085707893
1,0,15984400.000000022,195.39159240651986
1,0,9989299.99999993,62.49405670528713
1,0,12585699.999999924,78.73739395910955
1,0,11889299.99999993,74.38064612997618
1,0,11702999.999999885,65.1378955277874
1,0,11702999.999999885,92.98648466116272
1,1,13639499.99999997,167.02792064658482
1,0,8990099.999999948,80.26015069813936
1,1,10522500.0,179.1338247561318
1,1,10522500.0,210.31119461155563
1,0,8150000.0,101.91066873405678
1,0,7898899.999999994,75.0667617011166
1,0,5172600.000000093,49.1575196008562
1,0,5172600.000000093,44.766973906271204
1,1,8612100.000000063,305.37195943549887
1,1,15621000.000000058,323.32243242124594
1,0,11503399.999999965,133.57253167055515
1,0,9655699.999999924,112.11783421000514
1,1,23172300.000000104,239.98570792382
1,0,22900800.00000002,156.17127776376017
1,0,17888800.000000045,139.85567864653692
1,0,10266499.999999942,44.305053878984374
1,0,10266499.999999942,44.305053878984374
1,0,2593800.0000000466,94.70916858363788
1,0,3277600.000000093,85.17007509810051
1,0,3842699.999999895,136.80931358586696
1,0,3229499.999999971,116.18578212692101
1,0,3229499.999999971,154.95154015929364
1,0,2367500.0,73.30856169685775
1,0,2081399.9999999942,64.44960520204405
1,0,1457700.0000000407,75.23612903226017
1,0,2153500.000000058,90.96092925026646
1,0,2193000.000000029,92.62935586061369
1,1,4739900.000000052,227.72653022004735
1,1,8244400.000000023,173.9361589906946
1,0,23964100.000000034,489.093209788354
1,0,22549700.00000001,523.717397867952
1,0,17297600.000000093,209.8102954732915
1,0,24906699.99999998,98.72602375922088
1,0,10389599.999999918,144.43440423727486
1,0,10656799.99999993,171.88109869195284
1,0,8012399.999999907,120.6959403479677
1,0,12834700.000000011,97.1589704769115
1,0,15052400.000000052,141.24690338563312
1,0,15052400.000000052,124.77328868184298
1,0,14329799.999999959,91.03545540598054
1,0,4908699.999999953,59.12386779726354
1,0,5257799.999999989,63.08401123029348
1,0,5248699.999999953,103.78462816127174
1,0,5887599.999999948,116.4178514226958
1,1,13447500.0,255.76286659819752
1,1,16898699.999999955,244.31737678372633
1,1,16898699.999999955,287.0218764861761
1,0,7828800.000000047,40.99427667785532
1,0,7828800.000000047,40.99427667785532
1,0,6400899.999999965,147.1133072856836
1,0,6400899.999999965,142.85172290662246
1,0,4839300.000000075,124.40679708989974
1,0,7123099.999999977,103.34716499332485
1,0,5734199.999999982,89.58427721101742
1,0,6615000.0,103.34484213157582
1,0,6615000.0,81.27034830149302
1,0,6615000.0,92.27228344259896
1,0,10233800.000000047,120.86404006046902
1,0,11476000.000000058,173.48450491307722
1,0,9229300.000000076,139.52078609221581
1,0,14375399.999999937,140.3422791928222
1,0,23339599.999999918,157.0378942835601
1,1,23339599.999999918,203.37748344370686
1,0,17030699.999999925,118.47113819441546
1,1,10385699.999999924,139.69976998506678
1,0,3644199.9999999823,49.68234492160848
1,0,5765900.000000111,96.63141664851244
1,0,5979499.999999971,142.14229681222804
1,0,14770499.999999885,225.81409570402204
1,0,10179099.99999989,173.90063894488156
1,0,7085399.999999936,106.8172224567307
1,0,6599799.999999959,44.68230594766603
1,0,5283600.000000006,35.771300903828894
1,0,5283600.000000006,51.906357143559475
1,1,6316599.999999889,128.2870953328733
1,0,22549000.000000086,398.18820745555
1,0,22549000.000000086,398.18820745555
1,0,17428100.000000123,275.9095082797776
1,0,16628499.999999912,69.91494246107627
1,0,16628499.999999912,73.7438467337791
1,0,16628499.999999912,73.7438467337791
1,0,27267899.999999937,163.98292088883593
1,0,27267899.999999937,163.98292088883593
1,0,27267899.999999937,163.98292088883593
1,1,28780899.999999966,325.0793471508471
1,1,31309100.000000034,353.6352854803224
1,1,20966799.99999993,140.33720875752124
1,1,20966799.99999993,175.56164016512272
1,0,10595999.999999912,69.29974297094165
1,0,8063199.999999925,38.456989144742884
