zone,n,hit_target_pct,hit_sl_pct,expected_value,risk_reward_ratio
lower_5%,183,0.3114754098360656,0.6885245901639344,199.1803278688525,0.4523809523809524
lower_15%,488,0.29508196721311475,0.7049180327868853,186.0655737704918,0.41860465116279066
lower_20%,680,0.28823529411764703,0.711764705882353,180.58823529411762,0.40495867768595034
lower_10%,306,0.28104575163398693,0.7189542483660131,174.83660130718954,0.39090909090909093
middle_50%,600,0.25166666666666665,0.7483333333333333,151.33333333333334,0.3363028953229399
middle_50%,600,0.25166666666666665,0.7483333333333333,151.33333333333334,0.3363028953229399
middle_50%,600,0.25166666666666665,0.7483333333333333,151.33333333333334,0.3363028953229399
middle_50%,600,0.25166666666666665,0.7483333333333333,151.33333333333334,0.3363028953229399
upper_20%,709,0.21015514809590974,0.7898448519040903,118.1241184767278,0.26607142857142857
upper_15%,517,0.2011605415860735,0.7988394584139265,110.92843326885881,0.25181598062953997
upper_10%,329,0.1945288753799392,0.8054711246200608,105.62310030395138,0.24150943396226415
upper_5%,173,0.1791907514450867,0.8208092485549133,93.35260115606937,0.21830985915492956
