split,train_n,test_n,mae,rmse,prediction_correlation
1,554,554,0.44435896733007507,0.7713477972343369,0.08713054396217193
2,1108,554,0.40620349564984104,0.5426584328583561,0.1236373680775049
3,1662,554,0.41938918304456607,0.5937904314914441,0.034131274554318816
4,2216,554,0.3920157447661684,0.5685741080836675,0.09554516878183403
5,2770,554,0.4110744603258926,0.6506092425767848,0.13308922093980616
