split,train_n,test_n,accuracy,balanced_accuracy,roc_auc
1,554,554,0.5108303249097473,0.5166307963216592,0.5405074023348334
2,1108,554,0.49097472924187724,0.4804464882285894,0.4942027276657627
3,1662,554,0.5144404332129964,0.49616314516976767,0.49043414275202357
4,2216,554,0.4963898916967509,0.5078899321857068,0.5562989045383411
5,2770,554,0.47833935018050544,0.4761513157894737,0.47239191729323304
