C4_zone,n,median_C4_to_C5C6_MAE_long,p75_C4_to_C5C6_MAE_long,p90_C4_to_C5C6_MAE_long,median_C4_to_C5C6_MAE_short,p75_C4_to_C5C6_MAE_short,p90_C4_to_C5C6_MAE_short,median_C5C6_up_from_C4,median_C5C6_down_from_C4,median_C7_projection_up,p75_C7_projection_up,p90_C7_projection_up,median_C7_projection_down,p75_C7_projection_down,p90_C7_projection_down,c7_breaks_C5C6_high,c7_breaks_C5C6_low,c7_close_above_C5C6_high,c7_close_below_C5C6_low
0-10%,306,27783.000000000175,60842.00000000019,115471.49999999965,34174.50000000026,67150.0,107652.49999999942,34174.50000000026,27783.000000000175,0.0,9311.25000000011,30965.50000000061,0.0,4199.750000000131,33268.500000000495,0.39215686274509803,0.2777777777777778,0.20261437908496732,0.12091503267973856
10-25%,546,31686.499999999432,67237.99999999937,132356.4999999995,29320.999999999913,55551.24999999971,101608.49999999991,29320.999999999913,31686.499999999432,0.0,7627.25000000064,39111.000000000786,0.0,10200.500000000102,42621.00000000064,0.3498168498168498,0.34615384615384615,0.17765567765567766,0.1978021978021978
25-40%,475,26525.0,60635.499999999956,109775.60000000012,29997.000000000116,57408.49999999991,97586.39999999986,29997.000000000116,26525.0,0.0,11070.999999999913,36818.80000000065,0.0,4592.499999999563,38181.19999999999,0.3684210526315789,0.3136842105263158,0.2168421052631579,0.15789473684210525
40-50%,289,25734.000000001106,58194.00000000023,100475.19999999956,26147.000000000116,58111.00000000006,96064.20000000038,26147.000000000116,25734.000000001106,0.0,11984.000000000378,39445.59999999938,0.0,8725.0,34289.19999999984,0.3391003460207612,0.3391003460207612,0.17647058823529413,0.1695501730103806
50-60%,311,28119.99999999971,65801.0000000002,99255.99999999977,32522.999999999593,73946.50000000038,123150.99999999948,32522.999999999593,28119.99999999971,0.0,14318.00000000003,43040.000000000146,0.0,6807.500000000437,39520.99999999991,0.3729903536977492,0.3086816720257235,0.17363344051446947,0.1639871382636656
60-75%,518,27748.999999999796,59793.25000000026,103005.20000000019,25232.49999999971,52207.250000000204,92152.3999999999,25232.49999999971,27748.999999999796,0.0,7553.9999999997235,35534.89999999978,0.0,8690.249999999833,38639.899999999034,0.3204633204633205,0.35135135135135137,0.18725868725868725,0.17567567567567569
75-90%,551,29486.999999999534,60534.50000000012,109147.99999999959,25613.99999999994,53551.500000000306,108846.00000000064,25613.99999999994,29486.999999999534,0.0,4787.000000000262,27525.0,0.0,11210.000000000218,36722.00000000012,0.29764065335753176,0.37568058076225047,0.15245009074410162,0.19782214156079855
90-100%,329,36302.99999999988,66947.99999999959,102695.79999999983,22327.000000000407,51921.00000000064,95718.99999999962,22327.000000000407,36302.99999999988,0.0,1813.0000000004657,30788.199999999477,0.0,11168.00000000003,42408.199999999466,0.25835866261398177,0.3677811550151976,0.14893617021276595,0.20364741641337386
