split,train_n,test_n,accuracy,balanced_accuracy,roc_auc
1,554,554,0.7509025270758123,0.7521060716306897,0.8361872422992966
2,1108,554,0.6877256317689531,0.6819233666989559,0.7491389516736626
3,1662,554,0.7057761732851986,0.718090867631969,0.7909303386158932
4,2216,554,0.7075812274368231,0.7172202322804733,0.760216541843048
5,2770,554,0.6750902527075813,0.6878598620839147,0.7702979150014224
