split,train_n,test_n,mae,rmse,prediction_correlation
1,554,554,0.6020507883365317,0.8626827447645965,0.058577575511603384
2,1108,554,0.5061336329212093,0.7211483966776223,0.13488058411162035
3,1662,554,0.5093681909424702,0.725942030335972,0.07680325626413063
4,2216,554,0.562664593997549,0.8062565632322709,0.14122148132592863
5,2770,554,0.5842147894989909,1.2069354628275604,0.09492293297116745
