pattern,n,up_first,down_first,opposite_after_first,median_MFE_up,median_MFE_down,p75_MFE_up,p75_MFE_down,median_MAE_long,median_MAE_short
C5_between_C3_C4_highs,680,0.6367647058823529,0.2823529411764706,0.31176470588235294,88432.49999999971,75379.49999999983,162590.49999999953,162989.9999999996,75379.49999999983,88432.49999999971
C5_between_C3_C4_lows,654,0.28593272171253825,0.6422018348623854,0.32262996941896027,76224.50000000026,98111.00000000042,142450.2499999995,185396.74999999953,98111.00000000042,76224.50000000026
C5_above_both_C3_C4_highs,597,0.847571189279732,0.09882747068676717,0.3417085427135678,121831.99999999924,46956.99999999924,213165.00000000087,116681.99999999924,46956.99999999924,121831.99999999924
C5_below_both_C3_C4_lows,584,0.0839041095890411,0.8732876712328768,0.3356164383561644,41019.00000000023,144254.99999999994,106377.25000000028,239933.49999999953,144254.99999999994,41019.00000000023
C5_high_sweep_rejection,360,0.9027777777777778,0.0,0.42777777777777776,79079.49999999983,76317.50000000029,142477.99999999988,161240.9999999998,76317.50000000029,79079.49999999983
C5_low_sweep_rejection,386,0.0,0.9041450777202072,0.44041450777202074,85608.00000000017,100385.49999999996,158875.49999999936,177661.99999999919,100385.49999999996,85608.00000000017
C5_high_break,768,0.9361979166666666,0.0,0.3815104166666667,108125.99999999948,57023.499999999694,192212.75000000023,128574.74999999977,57023.499999999694,108125.99999999948
C5_low_break,787,0.0,0.9377382465057179,0.3811944091486658,65706.00000000122,128982.0000000007,135227.0000000004,218992.49999999956,128982.0000000007,65706.00000000122
