split,train_n,test_n,mae,rmse,prediction_correlation
1,554,554,0.23869764145870662,0.46426751542140837,0.12213038986266964
2,1108,554,0.24052900655136047,0.33554308139601696,0.18421785400439583
3,1662,554,0.2567486053465204,0.3694772146729329,0.10997532050271537
4,2216,554,0.24050330975647766,0.3379594277126613,0.23218123961170659
5,2770,554,0.26166246033509705,0.443040057876219,0.15429128557734234
