split,train_n,test_n,accuracy,balanced_accuracy,roc_auc
1,554,554,0.6859205776173285,0.6754540818328038,0.7635766871967884
2,1108,554,0.6534296028880866,0.66678841991342,0.7371888528138527
3,1662,554,0.6841155234657039,0.6897894736842105,0.7556447368421053
4,2216,554,0.6895306859205776,0.6816273286861523,0.7796529561235443
5,2770,554,0.6805054151624549,0.6740721824991488,0.7560435818862785
