split,train_n,test_n,accuracy,balanced_accuracy,roc_auc
1,554,554,0.5072202166064982,0.5150003260940454,0.5333855083806169
2,1108,554,0.5415162454873647,0.526753880033557,0.5401635906040267
3,1662,554,0.5180505415162455,0.5021023862083465,0.5385393671817513
4,2216,554,0.5144404332129964,0.5233046426708399,0.5312076160667709
5,2770,554,0.4927797833935018,0.4883171470342523,0.48958333333333337
