split,train_n,test_n,accuracy,balanced_accuracy,roc_auc
1,554,554,0.740072202166065,0.7300164373554121,0.8039084378424449
2,1108,554,0.648014440433213,0.6462189317821259,0.7400185087255421
3,1662,554,0.7075812274368231,0.7144518272425249,0.7896594684385381
4,2216,554,0.6696750902527075,0.681493390496606,0.7508634035965225
5,2770,554,0.6678700361010831,0.6806443875919411,0.7597804072060548
