split,train_n,test_n,mae,rmse,prediction_correlation
1,554,554,0.6027544877402083,0.9777137044551795,0.0789878150458941
2,1108,554,0.5189778421320794,0.6869589966096281,0.13507282091928835
3,1662,554,0.5346978815165238,0.7484682119856311,0.011232864828315422
4,2216,554,0.49553925080520533,0.7573948867273411,0.0570163113271206
5,2770,554,0.5412888324647693,0.8181655900845366,0.07588636489292928
