split,train_n,test_n,mae,rmse,prediction_correlation
1,554,554,0.19336205403469334,0.29447774419960343,0.18573566413308992
2,1108,554,0.2393889692784471,0.3523141305391089,0.17800558056070398
3,1662,554,0.23900200294429896,0.34594257021404157,0.19759185383938155
4,2216,554,0.2600576982548247,0.36881374215527596,0.15267703872012447
5,2770,554,0.2527638500936829,0.4322359747318782,0.19647730337340077
