split,train_n,test_n,mae,rmse,prediction_correlation
1,554,554,0.42352828307114987,0.6043760569127158,0.07708321613324523
2,1108,554,0.40245781848199713,0.5688150480698827,0.0455920015528369
3,1662,554,0.4023321165810695,0.573404971390936,0.0943774244862715
4,2216,554,0.44042108924637347,0.629703857153601,0.125481890501533
5,2770,554,0.43787233036349354,0.8820860311001741,0.13410165326155718
