split,train_n,test_n,accuracy,balanced_accuracy,roc_auc
1,554,554,0.5126353790613718,0.5253887903141634,0.5258193299238075
2,1108,554,0.5361010830324909,0.5195181417785235,0.5354184144295302
3,1662,554,0.5379061371841155,0.5150583412172817,0.5535582886576264
4,2216,554,0.5216606498194946,0.5293768662068246,0.542826594343682
5,2770,554,0.5090252707581228,0.507340562972243,0.5186678672565217
