,C5_high_excursion,C5_high_excursion,C5_high_excursion,C5_low_excursion,C5_low_excursion,C5_low_excursion,C6_high_excursion,C6_high_excursion,C6_high_excursion,C6_low_excursion,C6_low_excursion,C6_low_excursion,C7_high_excursion,C7_high_excursion,C7_high_excursion,C7_low_excursion,C7_low_excursion,C7_low_excursion
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
range_regime,,,,,,,,,,,,,,,,,,
very_low,0.18755224745217278,0.10886110562533383,665,-0.19960686899038987,-0.12207987146149181,665,0.18751647324728074,0.12695013902424054,665,-0.2579117062768638,-0.140749104161397,665,0.16620597385998473,0.11158541754980957,665,-0.2723870197385628,-0.16106773197748522,665
low,0.2512031913217907,0.16570495911368233,665,-0.24201864716670468,-0.15894163698325345,665,0.31608891192552435,0.1864505195788281,665,-0.284757608065023,-0.17586481113319907,665,0.3122840328223081,0.19436819599276234,665,-0.27918725248324594,-0.16738993942975453,665
medium,0.28874248797388286,0.1937504783355078,665,-0.31082772551805576,-0.18654779300692265,665,0.27984844436049183,0.19984923634933574,665,-0.33518895372325386,-0.215714285714283,665,0.30474508876290524,0.19933515197591165,665,-0.3344436484049368,-0.21791529664513873,665
high,0.29077730061185164,0.18422580598336535,665,-0.3284998793606004,-0.2117940073199977,665,0.2925970833087412,0.20000740733881706,665,-0.3094909842355342,-0.22464897153398053,665,0.33246179882613974,0.19915780290574706,665,-0.3260349068347959,-0.2481269803666093,665
very_high,0.31728972393151866,0.19506773015426673,665,-0.281628465844575,-0.17607562247234812,665,0.30973991438044707,0.21056521953383167,665,-0.2390544947175386,-0.16185258329617155,665,0.30783932382347257,0.21816567997790126,665,-0.228852211711677,-0.1275154172947801,665
