feature,importance
H4_2_close_location,0.022847710823931916
C4_close_position,0.021562557294211783
all_bearish,0.018125722774762706
C4_close_location,0.018111902996594785
last2_bearish,0.016313177307944824
C2_open_location,0.016257111940027606
C2_close_location,0.016070126300111898
C4_break_C3_low,0.015416797273148252
H4_2_body_ratio,0.015410935330547172
H4_same_direction,0.01528794069413876
C3_body_ratio,0.015280752985697721
direction_sum,0.015267377464761613
H4_opposite_direction,0.014796515644982543
C1_close_location,0.014614112302498948
H4_2_upper_wick_ratio,0.013976686750938994
C3_close_location,0.013530905781789266
C1_open_location,0.013095301939973302
C4_open_location,0.013008773831101411
H4_1_close_location,0.012849006865794857
C3_open_location,0.012756855046130748
C1_body_ratio,0.0123389849967364
H4_1_open_location,0.011972796688561967
C1_lower_wick_ratio,0.01174171666039397
H4_2_open_location,0.011432366167378544
C3_upper_wick_ratio,0.011384005404684734
C4_break_C3_high,0.011293673115180989
C4_body_ratio,0.01102236396529012
C2_body_ratio,0.01091050660853372
H4_2_lower_wick_ratio,0.010885675070986943
C3_lower_wick_ratio,0.01066422096080375
last2_bullish,0.010647981341397031
H4_1_body_ratio,0.010641916245212846
C1_upper_wick_ratio,0.010558626586115772
H4_inside,0.010183826461090447
C4_upper_wick_ratio,0.010048876552802403
C4_lower_wick_ratio,0.009667616598559005
C2_lower_wick_ratio,0.00952590008316639
H4_1_upper_wick_ratio,0.009303929374279242
H4_1_lower_wick_ratio,0.009288548684912003
C4_close_below_C3_low,0.009121023753973227
H4_2_open,0.008942156251823236
C3_open,0.008931338578944308
H4_2_high,0.00880970755690282
H4_1_close,0.008681827735593367
C4_close_above_C3_high,0.00865945433275494
C4_high,0.008659101729820429
C2_close,0.008620499676678873
C3_high,0.008552286694692685
C3_low,0.008407588809113811
H4_2_close,0.008406109765177487
H4_1_open,0.008396637276416935
C1_high,0.008366203838030729
H4_2_low,0.008263500477838463
C2_upper_wick_ratio,0.008224567783224128
C4_open,0.008186858130134362
window_low,0.008166041500069221
C4_low,0.008080923268201848
H4_1_high,0.008053615667356896
C1_open,0.00794733633601088
C4_close,0.007941964639604416
C3_close,0.007941733974282973
C1_low,0.007919771181049607
H4_1_low,0.007897629339092473
C1_close,0.0076893494397303275
C2_low,0.0075554598631746754
C2_high,0.007517410894736804
window_high,0.007396206285963928
C2_open,0.007370873366902273
H4_return_change,0.00736572770987843
H4_1_body,0.006520863494718684
H4_2_body,0.006324235428907605
window_range,0.006106744488269477
C2_return,0.006096439419133188
C4_inside_C3,0.005975027653116604
C4_vs_avg_range,0.0059640028291056855
C3_body,0.005865491216889762
H4_1_range,0.005820728782700616
C4_upper_wick,0.0057157293720389996
H4_2_range,0.005478694340210051
C3_range,0.005431086803866695
C4_lower_wick,0.005430541676733072
C3_lower_wick,0.005395031147339143
H4_2_return,0.005382954984801966
C2_body,0.005344732364212107
C4_range,0.0053397816132113845
C1_range,0.005310350066303441
C4_body,0.005300078445291304
C2_range,0.005287597168966339
H4_range_ratio,0.005280345461026047
H4_2_upper_wick,0.005193104880183345
C3_upper_wick,0.0050950558205168145
C3_return,0.0050923660922187535
C1_body,0.004995266425338668
C1_upper_wick,0.004989980535878682
C2_lower_wick,0.004742827925874106
H4_1_lower_wick,0.004728941400752727
C2_upper_wick,0.004641753820147998
C1_lower_wick,0.004636649784427682
C3_C4_return,0.004586666107031021
H4_1_return,0.004365345530346266
C4_return,0.004363967630335842
H4_2_lower_wick,0.004362280648753268
range_trend,0.004277549700770773
H4_1_upper_wick,0.004132530995373885
C1_return,0.0037545780392533217
C3_C2_range_ratio,0.0032815526346533196
C4_C3_range_ratio,0.0031618296119541494
C2_C1_range_ratio,0.003039105079138698
H4_1_trades,0.002969416888435155
C1_trades,0.002764233713806631
H4_2_trades,0.002653092942704246
H4_2_volume,0.0025945409141489516
H4_1_volume,0.002568180685323103
C4_trades,0.002485618655045673
C1_volume,0.002407516148073511
C2_trades,0.002289432516439737
H4_bullish_engulf,0.002235953266626356
C3_trades,0.0022242210825160064
C3_volume,0.0021632467857874227
C4_volume,0.002120948210975964
C2_volume,0.0020464905339208582
all_bullish,0.0019591818450755256
C4_trades_ratio,0.0018977061854868593
H4_bearish_engulf,0.0017838151958797961
C4_volume_ratio,0.0012960463892767535
C4_body_vs_C3_body,0.0005618398483360553
