C5_zone,n,median_C5_range_pips,median_MFE_long,p75_MFE_long,median_MAE_long,median_MFE_short,p75_MFE_short,median_MAE_short,C6_break_C5_high,C6_break_C5_low,C6_close_above_C5_high,C6_close_below_C5_low,C6_inside_C5_range
0-10%,74,41106.00000000013,950.0000000007276,11859.749999999622,38616.00000000035,0.0,11980.50000000003,37710.00000000022,0.5135135135135135,0.3918918918918919,0.28378378378378377,0.22972972972972974,0.4864864864864865
10-25%,255,49218.00000000076,0.0,17104.500000000553,47572.00000000012,0.0,18095.999999999185,46683.000000000175,0.47058823529411764,0.43529411764705883,0.27450980392156865,0.23529411764705882,0.49019607843137253
25-40%,386,40725.999999999476,0.0,16372.750000000087,39897.499999999854,540.5000000002474,23274.749999999767,36044.99999999971,0.46113989637305697,0.5233160621761658,0.2616580310880829,0.266839378238342,0.47150259067357514
40-50%,271,39711.00000000006,0.0,10694.000000000233,46919.99999999971,3602.0000000004075,25106.000000000495,36998.999999999796,0.4354243542435424,0.5571955719557196,0.22878228782287824,0.28413284132841327,0.4870848708487085
50-60%,266,41699.50000000099,266.5000000000873,17492.00000000019,42853.50000000035,0.0,19644.750000000204,37379.00000000009,0.5150375939849624,0.44360902255639095,0.33458646616541354,0.2556390977443609,0.40977443609022557
60-75%,441,40292.9999999993,127.00000000040745,20075.0,39441.00000000035,0.0,14877.000000000407,41933.99999999965,0.5079365079365079,0.48299319727891155,0.2811791383219955,0.2494331065759637,0.46938775510204084
75-90%,522,41265.50000000025,0.0,14705.249999999796,42115.99999999962,0.0,18232.250000000568,39450.99999999984,0.4674329501915709,0.46934865900383144,0.24521072796934865,0.27586206896551724,0.4789272030651341
90-100%,1112,53851.49999999994,0.0,16140.249999999287,46869.500000000335,0.0,15425.999999999476,47534.000000000015,0.43345323741007197,0.41007194244604317,0.22931654676258992,0.2275179856115108,0.5431654676258992
