C4_zone,n,median_MFE_up_pct_8h,p75_MFE_up_pct_8h,p90_MFE_up_pct_8h,median_MFE_down_pct_8h,p75_MFE_down_pct_8h,p90_MFE_down_pct_8h
0-10%,305,83.60144355804911,160.66556914393152,278.5186138557478,76.07015632203161,155.38741159271413,287.7951064067079
10-25%,542,61.66917676686229,132.13742931031356,231.99995935526462,83.23749977230361,172.89076542485867,265.35131214400474
25-40%,474,90.74538734431547,170.31613411692754,292.513700442895,77.76381457374077,185.23467999614326,297.53861991836806
40-50%,287,82.46177502759237,166.57971487913284,301.5695297678735,89.04956984842251,170.8804586481402,269.6542534736155
50-60%,311,89.21561600917435,164.8591302317223,311.60739959743415,88.30090265733342,172.4885849731927,291.4268946238538
60-75%,518,81.51137909539358,163.06786413743498,287.77577161877633,78.5797140042173,167.60885352087496,263.12246606733845
75-90%,551,73.24734811957538,146.36479656588097,263.3901874078753,70.37278471319539,151.51622166948664,250.74713568823887
90-100%,329,64.08923060456314,152.38249901885,277.37022088241366,79.82641973621269,163.3844059121704,273.61056461492836
